Endodermis,Epidermis,Exodermis,GeneralCortex,InnerCortex,MeristematicCortex,MeristematicZone,Phloem,QuiescentCenter,Vasculature,Xylem
,Solyc08g080630,Solyc08g081780,Solyc10g049970,,,,Solyc09g098050,,,
,Solyc08g080650,Solyc08g082210,Solyc10g050063,,,,Solyc09g098190,,,
,Solyc08g080745,Solyc08g082310,Solyc10g050110,,,,Solyc10g005040,,,
,Solyc08g080930,Solyc08g082330,Solyc10g050210,,,,Solyc10g006910,,,
,Solyc08g081810,Solyc08g082370,Solyc10g050440,,,,Solyc10g007120,,,
,Solyc08g081845,Solyc08g082400,Solyc10g054665,,,,Solyc10g007820,,,
,Solyc08g082090,Solyc08g082670,Solyc10g054670,,,,Solyc10g008330,,,
,Solyc08g082240,Solyc08g082690,Solyc10g074580,,,,Solyc10g011880,,,
,Solyc08g082440,Solyc08g083090,Solyc10g076180,,,,Solyc10g017890,,,
,Solyc08g082570,Solyc08g083110,Solyc10g077040,,,,Solyc10g017920,,,
,Solyc08g082740,Solyc09g005000,Solyc10g077090,,,,Solyc10g018260,,,
,Solyc09g007470,Solyc09g005210,Solyc10g077120,,,,Solyc10g018560,,,
,Solyc09g007570,Solyc09g005260,Solyc10g078570,,,,Solyc10g018885,,,
,Solyc09g007930,Solyc09g007190,Solyc10g078590,,,,Solyc10g047240,,,
,Solyc09g008500,Solyc09g007320,Solyc10g079040,,,,Solyc10g047350,,,
,Solyc09g008590,Solyc09g007760,Solyc10g079360,,,,Solyc10g052740,,,
,Solyc09g008740,Solyc09g007770,Solyc10g079780,,,,Solyc10g053910,,,
,Solyc09g008910,Solyc09g008060,Solyc10g080230,,,,Solyc10g055460,,,
,Solyc09g009230,Solyc09g008270,Solyc10g081040,,,,Solyc10g076710,,,
,Solyc09g009280,Solyc09g008320,Solyc10g081340,,,,Solyc10g076880,,,
,Solyc09g009450,Solyc09g008560,Solyc10g083320,,,,Solyc10g078460,,,
,Solyc09g010430,Solyc09g009420,Solyc10g083880,,,,Solyc10g078600,,,
,Solyc09g010580,Solyc09g010140,Solyc10g084120,,,,Solyc10g079520,,,
,Solyc09g010860,Solyc09g010660,Solyc10g084180,,,,Solyc10g079530,,,
